"age_days","L","M","S","sex"
989,1,93.7201,0.03774,"m"
990,1,93.7429,0.03775,"m"
991,1,93.7658,0.03776,"m"
992,1,93.7886,0.03776,"m"
993,1,93.8114,0.03777,"m"
994,1,93.8342,0.03778,"m"
995,1,93.8569,0.03779,"m"
996,1,93.8797,0.0378,"m"
997,1,93.9024,0.03781,"m"
998,1,93.9252,0.03782,"m"
999,1,93.9479,0.03782,"m"
1000,1,93.9706,0.03783,"m"
1001,1,93.9932,0.03784,"m"
1002,1,94.0159,0.03785,"m"
1003,1,94.0385,0.03786,"m"
1004,1,94.0612,0.03787,"m"
1005,1,94.0838,0.03788,"m"
1006,1,94.1064,0.03788,"m"
1007,1,94.129,0.03789,"m"
1008,1,94.1516,0.0379,"m"
1009,1,94.1741,0.03791,"m"
1010,1,94.1967,0.03792,"m"
1011,1,94.2192,0.03793,"m"
1012,1,94.2417,0.03793,"m"
1013,1,94.2642,0.03794,"m"
1014,1,94.2867,0.03795,"m"
1015,1,94.3092,0.03796,"m"
1016,1,94.3317,0.03797,"m"
1017,1,94.3541,0.03798,"m"
1018,1,94.3765,0.03798,"m"
1019,1,94.399,0.03799,"m"
1020,1,94.4214,0.038,"m"
1021,1,94.4438,0.03801,"m"
1022,1,94.4662,0.03802,"m"
1023,1,94.4885,0.03802,"m"
1024,1,94.5109,0.03803,"m"
1025,1,94.5332,0.03804,"m"
1026,1,94.5556,0.03805,"m"
1027,1,94.5779,0.03806,"m"
1028,1,94.6002,0.03807,"m"
1029,1,94.6225,0.03807,"m"
1030,1,94.6447,0.03808,"m"
1031,1,94.667,0.03809,"m"
1032,1,94.6893,0.0381,"m"
1033,1,94.7115,0.03811,"m"
1034,1,94.7337,0.03811,"m"
1035,1,94.7559,0.03812,"m"
1036,1,94.7782,0.03813,"m"
1037,1,94.8003,0.03814,"m"
1038,1,94.8225,0.03815,"m"
1039,1,94.8447,0.03815,"m"
1040,1,94.8668,0.03816,"m"
1041,1,94.889,0.03817,"m"
1042,1,94.9111,0.03818,"m"
1043,1,94.9332,0.03819,"m"
1044,1,94.9553,0.03819,"m"
1045,1,94.9774,0.0382,"m"
1046,1,94.9995,0.03821,"m"
1047,1,95.0216,0.03822,"m"
1048,1,95.0436,0.03822,"m"
1049,1,95.0657,0.03823,"m"
1050,1,95.0877,0.03824,"m"
1051,1,95.1097,0.03825,"m"
1052,1,95.1317,0.03826,"m"
1053,1,95.1537,0.03826,"m"
1054,1,95.1757,0.03827,"m"
1055,1,95.1977,0.03828,"m"
1056,1,95.2197,0.03829,"m"
1057,1,95.2416,0.03829,"m"
1058,1,95.2636,0.0383,"m"
1059,1,95.2855,0.03831,"m"
1060,1,95.3074,0.03832,"m"
1061,1,95.3293,0.03833,"m"
1062,1,95.3512,0.03833,"m"
1063,1,95.3731,0.03834,"m"
1064,1,95.3949,0.03835,"m"
1065,1,95.4168,0.03836,"m"
1066,1,95.4386,0.03836,"m"
1067,1,95.4605,0.03837,"m"
1068,1,95.4823,0.03838,"m"
1069,1,95.5041,0.03839,"m"
1070,1,95.5259,0.03839,"m"
1071,1,95.5477,0.0384,"m"
1072,1,95.5695,0.03841,"m"
1073,1,95.5913,0.03842,"m"
1074,1,95.613,0.03842,"m"
1075,1,95.6348,0.03843,"m"
1076,1,95.6565,0.03844,"m"
1077,1,95.6782,0.03845,"m"
1078,1,95.6999,0.03845,"m"
1079,1,95.7216,0.03846,"m"
1080,1,95.7433,0.03847,"m"
1081,1,95.765,0.03848,"m"
1082,1,95.7867,0.03848,"m"
1083,1,95.8083,0.03849,"m"
1084,1,95.83,0.0385,"m"
1085,1,95.8516,0.0385,"m"
1086,1,95.8732,0.03851,"m"
1087,1,95.8948,0.03852,"m"
1088,1,95.9165,0.03853,"m"
1089,1,95.938,0.03853,"m"
1090,1,95.9596,0.03854,"m"
1091,1,95.9812,0.03855,"m"
1092,1,96.0028,0.03856,"m"
1093,1,96.0243,0.03856,"m"
1094,1,96.0459,0.03857,"m"
1095,1,96.0674,0.03858,"m"
1096,1,96.0889,0.03858,"m"
1097,1,96.1104,0.03859,"m"
1098,1,96.1319,0.0386,"m"
1099,1,96.1534,0.03861,"m"
1100,1,96.1749,0.03861,"m"
1101,1,96.1964,0.03862,"m"
1102,1,96.2178,0.03863,"m"
1103,1,96.2393,0.03863,"m"
1104,1,96.2607,0.03864,"m"
1105,1,96.2821,0.03865,"m"
1106,1,96.3035,0.03866,"m"
1107,1,96.325,0.03866,"m"
1108,1,96.3464,0.03867,"m"
1109,1,96.3677,0.03868,"m"
1110,1,96.3891,0.03868,"m"
1111,1,96.4105,0.03869,"m"
1112,1,96.4318,0.0387,"m"
1113,1,96.4532,0.0387,"m"
1114,1,96.4745,0.03871,"m"
1115,1,96.4958,0.03872,"m"
1116,1,96.5172,0.03873,"m"
1117,1,96.5385,0.03873,"m"
