__SVJCKHsex,__SVJCKHxvar,__SVJCKHl,__SVJCKHm,__SVJCKHs
2,13.25,-.26800001,46.633301,.17156
2,13.333,-.266,47.0457,.17039999
2,13.417,-.26499999,47.451599,.16924
2,13.5,-.26499999,47.8494,.16809
2,13.583,-.266,48.241299,.16693
2,13.667,-.26699999,48.621799,.16579001
2,13.75,-.27000001,48.993,.16464999
2,13.833,-.27399999,49.3568,.1635
2,13.917,-.278,49.708099,.16237
2,14,-.28400001,50.051998,.16124
2,14.083,-.289,50.384602,.16013999
2,14.167,-.296,50.7117,.15904
2,14.25,-.303,51.023998,.15798
2,14.333,-.31,51.326698,.15695
2,14.417,-.31799999,51.620998,.15594999
2,14.5,-.32600001,51.903,.15499
2,14.583,-.33500001,52.175999,.15406001
2,14.667,-.34299999,52.440399,.15316001
2,14.75,-.352,52.693001,.15232
2,14.833,-.361,52.936699,.15152
2,14.917,-.36899999,53.1707,.15075
2,15,-.37799999,53.394699,.15005
2,15.083,-.38600001,53.611801,.14938
2,15.167,-.39500001,53.820301,.14875001
2,15.25,-.403,54.021999,.14816999
2,15.333,-.412,54.215698,.14763001
2,15.417,-.41999999,54.403301,.14713
2,15.5,-.428,54.584202,.14668
2,15.583,-.43599999,54.758701,.14624999
2,15.667,-.44299999,54.927101,.14587
2,15.75,-.45100001,55.088902,.14551
2,15.833,-.458,55.243999,.14518
2,15.917,-.465,55.394299,.14487
2,16,-.472,55.537998,.14459001
2,16.083,-.479,55.676498,.14432999
2,16.167,-.48500001,55.808601,.14409
2,16.25,-.491,55.935501,.14387
2,16.333,-.49700001,56.056099,.14365999
2,16.417,-.50300002,56.171299,.14347
2,16.5,-.50800002,56.281601,.1433
2,16.583,-.51300001,56.386299,.14314
2,16.667,-.51800001,56.485401,.14298999
2,16.75,-.523,56.581001,.14286
2,16.833,-.528,56.671299,.14274
2,16.917,-.53200001,56.756699,.14262
2,17,-.53600001,56.838001,.14252
2,17.083,-.54000002,56.916302,.14242999
2,17.167,-.54400003,56.989201,.14234
2,17.25,-.54699999,57.058998,.14226
2,17.333,-.551,57.124699,.14218
2,17.417,-.55400002,57.1875,.14211001
2,17.5,-.55699998,57.246899,.14204
2,17.583,-.56,57.3041,.14198001
2,17.667,-.56300002,57.356998,.14192
2,17.75,-.565,57.407001,.14187001
2,17.833,-.56800002,57.4557,.14182
2,17.917,-.56999999,57.500801,.14177001
2,18,-.57200003,57.543999,.14173
2,18.083,-.574,57.584702,.14168
2,18.167,-.57599998,57.623501,.14165001
2,18.25,-.57800001,57.66,.14161
2,18.333,-.57999998,57.695301,.14157
2,18.417,-.58200002,57.728802,.14154001
2,18.5,-.583,57.759998,.14150999
2,18.583,-.58499998,57.790401,.14148
2,18.667,-.58600003,57.819901,.14145
2,18.75,-.588,57.847,.14142001
2,18.833,-.58899999,57.872799,.14139999
2,18.917,-.58999997,57.896999,.14137
2,19,-.59100002,57.919998,.14135
2,19.083,-.59299999,57.942101,.14133
2,19.167,-.59399998,57.9627,.14131001
2,19.25,-.59500003,57.981998,.14128999
2,19.333,-.59500003,58.000198,.14127
2,19.417,-.59600002,58.016399,.14126
2,19.5,-.597,58.032001,.14124
2,19.583,-.59799999,58.046398,.14123
2,19.667,-.59899998,58.0597,.14122
2,19.75,-.59899998,58.071999,.14120001
2,19.833,-.60000002,58.083302,.14119001
2,19.917,-.60000002,58.093601,.14117999
2,20,-.60100001,58.104,.14117
